"state", "date_peak", "cases_peak"
"ecuador", "01/17/22", "7,985"
"ecuador", "06/07/22", "1,326"
"egypt", "06/14/20", "1,367"
"egypt", "08/29/20", "189"
"egypt", "12/31/20", "1,191"
"egypt", "05/15/21", "1,024"
"egypt", "11/18/21", "927"
"egypt", "02/17/22", "2,090"
"el_salvador", "08/08/20", "373"
"el_salvador", "10/17/20", "192"
"el_salvador", "01/18/21", "277"
"el_salvador", "04/14/21", "251"
"el_salvador", "11/08/21", "561"
"el_salvador", "02/12/22", "1,811"
"el_salvador", "06/19/22", "787"
"equatorial_guinea", "05/20/20", "52"
"equatorial_guinea", "06/30/20", "153"
"equatorial_guinea", "07/29/20", "250"
"equatorial_guinea", "03/01/21", "51"
"equatorial_guinea", "04/21/21", "43"
"equatorial_guinea", "05/22/21", "112"
"equatorial_guinea", "09/14/21", "111"
"equatorial_guinea", "01/08/22", "166"
"equatorial_guinea", "03/21/22", "14"
"equatorial_guinea", "06/22/22", "6"
"eritrea", "04/02/20", "2"
"eritrea", "06/16/20", "14"
"eritrea", "09/08/20", "4"
"eritrea", "10/15/20", "5"
"eritrea", "12/27/20", "49"
"eritrea", "03/27/21", "19"
"eritrea", "06/07/21", "78"
"eritrea", "01/12/22", "77"
"eritrea", "05/15/22", "2"
"eritrea", "06/22/22", "2"
"estonia", "04/03/20", "55"
"estonia", "06/06/20", "10"
"estonia", "01/08/21", "571"
"estonia", "03/19/21", "1,331"
"estonia", "11/02/21", "1,570"
"estonia", "02/04/22", "6,200"
"estonia", "06/12/22", "120"
"eswatini", "04/28/20", "9"
"eswatini", "08/11/20", "80"
"eswatini", "01/19/21", "212"
"eswatini", "04/13/21", "149"
"eswatini", "08/12/21", "684"
"eswatini", "12/16/21", "1,010"
"eswatini", "05/12/22", "85"
"ethiopia", "08/23/20", "1,376"
"ethiopia", "10/10/20", "733"
"ethiopia", "11/28/20", "498"
"ethiopia", "04/03/21", "1,829"
"ethiopia", "08/27/21", "1,341"
"ethiopia", "12/31/21", "3,728"
"ethiopia", "06/16/22", "682"
"finland", "04/06/20", "139"
"finland", "11/27/20", "406"
"finland", "03/12/21", "644"
"finland", "08/12/21", "693"
"finland", "02/09/22", "7,869"
"finland", "03/12/22", "9,567"
"france", "04/15/20", "12,715"
"france", "11/01/20", "50,628"
"france", "04/14/21", "40,506"
"france", "05/28/21", "8,741"
"france", "08/13/21", "22,910"
"france", "01/21/22", "345,666"
"france", "04/01/22", "134,173"
"france", "06/22/22", "62,051"
"gabon", "06/17/20", "138"
"gabon", "07/27/20", "109"
"gabon", "04/12/21", "186"
"gabon", "10/02/21", "220"
"gabon", "12/29/21", "537"
"gabon", "06/21/22", "12"
"gambia", "04/30/20", "1"
"gambia", "08/21/20", "116"
"gambia", "11/30/20", "5"
"gambia", "02/17/21", "34"
"gambia", "03/15/21", "42"
"gambia", "08/05/21", "128"
"gambia", "10/25/21", "2"
"gambia", "01/09/22", "107"
"gambia", "05/11/22", "1"
"georgia", "04/16/20", "19"
"georgia", "12/04/20", "3,842"
"georgia", "05/07/21", "1,281"
"georgia", "08/13/21", "4,490"
"georgia", "11/05/21", "4,495"
"georgia", "02/04/22", "19,811"
"georgia", "06/20/22", "88"
"germany", "04/03/20", "4,917"
"germany", "06/22/20", "526"
"germany", "12/19/20", "22,735"
"germany", "04/24/21", "19,431"
"germany", "09/03/21", "9,791"
"germany", "11/26/21", "53,730"
"germany", "02/11/22", "175,258"
"germany", "03/25/22", "211,992"
"germany", "06/22/22", "80,879"
"ghana", "05/11/20", "331"
"ghana", "07/27/20", "781"
"ghana", "11/10/20", "167"
"ghana", "02/02/21", "767"
"ghana", "08/29/21", "559"
"ghana", "12/29/21", "1,204"
"ghana", "02/21/22", "129"
"ghana", "06/17/22", "247"
"greece", "04/01/20", "111"
"greece", "11/13/20", "2,288"
"greece", "04/02/21", "2,808"
"greece", "08/12/21", "3,006"
"greece", "11/11/21", "6,161"
"greece", "01/06/22", "32,933"
"greece", "03/17/22", "20,083"
"greece", "06/24/22", "9,561"
"guatemala", "07/17/20", "1,276"
"guatemala", "12/11/20", "515"
"guatemala", "01/15/21", "806"
"guatemala", "04/16/21", "1,346"
"guatemala", "08/20/21", "3,637"
"guatemala", "02/11/22", "3,292"
"guatemala", "06/24/22", "2,305"
"guinea", "05/31/20", "87"
"guinea", "08/18/20", "88"
"guinea", "10/30/20", "80"
"guinea", "03/10/21", "150"
"guinea", "08/09/21", "160"
"guinea", "01/07/22", "258"
"guinea", "04/11/22", "6"
"guinea", "05/15/22", "16"
"guinea_bissau", "05/07/20", "55"
"guinea_bissau", "07/01/20", "22"
"guinea_bissau", "08/06/20", "10"
"guinea_bissau", "11/28/20", "3"
"guinea_bissau", "02/03/21", "31"
"guinea_bissau", "08/20/21", "56"
"guinea_bissau", "11/12/21", "36"
"guinea_bissau", "01/23/22", "49"
"guinea_bissau", "06/22/22", "6"
"haiti", "06/02/20", "170"
"haiti", "01/15/21", "73"
"haiti", "06/06/21", "169"
"haiti", "10/04/21", "101"
"haiti", "01/20/22", "181"
"haiti", "04/27/22", "7"
"haiti", "06/23/22", "35"
"honduras", "07/18/20", "786"
"honduras", "08/29/20", "734"
"honduras", "10/19/20", "713"
"honduras", "02/06/21", "969"
"honduras", "05/02/21", "1,068"
"honduras", "08/16/21", "1,633"
"honduras", "01/23/22", "740"
"honduras", "02/19/22", "2,369"
"honduras", "04/30/22", "168"
"honduras", "06/15/22", "76"
"hong_kong", "04/01/20", "44"
"hong_kong", "07/28/20", "111"
"hong_kong", "12/07/20", "84"
"hong_kong", "01/21/21", "65"
"hong_kong", "03/14/21", "29"
"hong_kong", "06/25/21", "4"
"hong_kong", "08/27/21", "6"
"hong_kong", "10/13/21", "8"
"hong_kong", "03/03/22", "57,919"
"hong_kong", "06/24/22", "1,409"
"hungary", "04/10/20", "95"
"hungary", "11/29/20", "5,055"
"hungary", "03/27/21", "7,857"
"hungary", "11/24/21", "10,057"
"hungary", "02/02/22", "15,498"
"hungary", "06/20/22", "280"
"india", "02/02/20", "0"
"india", "09/11/20", "80,858"
"india", "05/07/21", "339,963"
"india", "08/27/21", "37,595"
"india", "01/21/22", "275,008"
"india", "04/29/22", "3,178"
"india", "06/24/22", "12,521"
"indonesia", "09/24/20", "3,809"
"indonesia", "01/29/21", "11,294"
"indonesia", "04/15/21", "4,681"
"indonesia", "07/16/21", "44,264"
"indonesia", "02/18/22", "50,461"
"indonesia", "06/24/22", "1,599"
"iran", "03/30/20", "2,598"
"iran", "06/03/20", "2,601"
"iran", "08/03/20", "2,279"
"iran", "11/27/20", "11,704"
"iran", "04/15/21", "20,758"
"iran", "08/11/21", "34,325"
"iran", "02/09/22", "31,145"
"iran", "06/24/22", "196"
"iraq", "04/06/20", "61"
"iraq", "09/06/20", "3,899"
"iraq", "04/22/21", "6,873"
"iraq", "07/29/21", "10,564"
"iraq", "01/27/22", "6,221"
"iraq", "06/24/22", "922"
"ireland", "04/13/20", "853"
"ireland", "10/20/20", "1,007"
"ireland", "01/08/21", "5,659"
"ireland", "05/02/21", "402"
"ireland", "08/23/21", "1,589"
"ireland", "01/06/22", "20,697"
"ireland", "03/23/22", "8,211"
"ireland", "05/16/22", "2,723"
"ireland", "06/20/22", "1,300"
"israel", "04/01/20", "547"
"israel", "07/23/20", "1,553"
"israel", "09/24/20", "5,788"
"israel", "01/12/21", "7,494"
"israel", "09/11/21", "9,494"
"israel", "01/22/22", "90,385"
"israel", "03/28/22", "12,320"
"israel", "06/22/22", "8,554"
"italy", "03/27/20", "4,823"
"italy", "11/13/20", "31,165"
"italy", "03/20/21", "20,301"
"italy", "08/27/21", "5,924"
"italy", "01/14/22", "164,653"
"italy", "03/25/22", "67,076"
"italy", "06/24/22", "48,311"
"jamaica", "04/18/20", "21"
"jamaica", "09/20/20", "158"
"jamaica", "12/11/20", "75"
"jamaica", "03/09/21", "599"
"jamaica", "08/26/21", "636"
"jamaica", "01/14/22", "1,251"
"jamaica", "06/01/22", "350"
"japan", "04/10/20", "480"
"japan", "08/07/20", "1,243"
"japan", "01/08/21", "5,794"
"japan", "05/11/21", "5,546"
"japan", "08/20/21", "20,506"
"japan", "02/04/22", "81,568"
"japan", "06/24/22", "13,716"
"jordan", "03/25/20", "21"
"jordan", "06/11/20", "21"
"jordan", "11/19/20", "4,926"
"jordan", "03/17/21", "7,494"
"jordan", "07/28/21", "890"
"jordan", "12/07/21", "4,977"
"jordan", "02/09/22", "17,503"
"jordan", "06/18/22", "92"
"kazakhstan", "07/04/20", "3,911"
"kazakhstan", "11/27/20", "911"
"kazakhstan", "01/24/21", "1,309"
"kazakhstan", "04/23/21", "2,491"
"kazakhstan", "07/21/21", "13,429"
"kazakhstan", "01/21/22", "12,478"
"kazakhstan", "06/24/22", "38"
"kenya", "07/31/20", "583"
"kenya", "11/13/20", "1,000"
"kenya", "03/25/21", "1,203"
"kenya", "08/13/21", "1,165"
"kenya", "12/24/21", "2,547"
"kenya", "06/24/22", "375"
"kuwait", "02/29/20", "6"
"kuwait", "05/20/20", "823"
"kuwait", "06/25/20", "677"
"kuwait", "09/06/20", "681"
"kuwait", "10/23/20", "686"
"kuwait", "04/12/21", "1,261"
"kuwait", "07/04/21", "1,565"
